timestamp_utc	gpu_id	memory_used_mib	utilization_gpu_pct
2026-09-02T20:32:20Z	0	935	0
2026-09-02T20:32:20Z	1	935	0
2026-09-02T20:32:21Z	0	935	0
2026-09-02T20:32:21Z	1	935	0
2026-09-02T20:32:22Z	0	935	0
2026-09-02T20:32:22Z	1	935	0
2026-09-02T20:32:23Z	0	935	0
2026-09-02T20:32:23Z	1	935	0
2026-09-02T20:32:24Z	0	935	0
2026-09-02T20:32:24Z	1	935	0
2026-09-02T20:32:25Z	0	935	0
2026-09-02T20:32:25Z	1	935	0
2026-09-02T20:32:26Z	0	935	0
2026-09-02T20:32:26Z	1	935	0
2026-09-02T20:32:27Z	0	935	0
2026-09-02T20:32:27Z	1	935	0
2026-09-02T20:32:28Z	0	935	0
2026-09-02T20:32:28Z	1	935	0
2026-09-02T20:32:30Z	0	935	0
2026-09-02T20:32:30Z	1	935	0
2026-09-02T20:32:31Z	0	935	0
2026-09-02T20:32:31Z	1	935	0
2026-09-02T20:32:32Z	0	935	0
2026-09-02T20:32:32Z	1	935	0
2026-09-02T20:32:33Z	0	935	0
2026-09-02T20:32:33Z	1	935	0
2026-09-02T20:32:34Z	0	935	0
2026-09-02T20:32:34Z	1	935	0
2026-09-02T20:32:35Z	0	935	0
2026-09-02T20:32:35Z	1	935	0
2026-09-02T20:32:36Z	0	935	0
2026-09-02T20:32:36Z	1	935	0
2026-09-02T20:32:37Z	0	935	0
2026-09-02T20:32:37Z	1	935	0
2026-09-02T20:32:38Z	0	935	0
2026-09-02T20:32:38Z	1	935	0
2026-09-02T20:32:39Z	0	935	0
2026-09-02T20:32:39Z	1	935	0
2026-09-02T20:32:41Z	0	935	0
2026-09-02T20:32:41Z	1	935	0
2026-09-02T20:32:42Z	0	935	0
2026-09-02T20:32:42Z	1	935	0
2026-09-02T20:32:43Z	0	935	0
2026-09-02T20:32:43Z	1	935	0
2026-09-02T20:32:44Z	0	935	0
2026-09-02T20:32:44Z	1	935	0
2026-09-02T20:32:45Z	0	935	0
2026-09-02T20:32:45Z	1	935	0
2026-09-02T20:32:46Z	0	935	0
2026-09-02T20:32:46Z	1	935	0
2026-09-02T20:32:47Z	0	935	0
2026-09-02T20:32:47Z	1	935	0
2026-09-02T20:32:48Z	0	935	0
2026-09-02T20:32:48Z	1	935	0
2026-09-02T20:32:49Z	0	935	0
2026-09-02T20:32:49Z	1	935	0
2026-09-02T20:32:51Z	0	935	0
2026-09-02T20:32:51Z	1	935	0
2026-09-02T20:32:52Z	0	935	0
2026-09-02T20:32:52Z	1	935	0
2026-09-02T20:32:53Z	0	935	0
2026-09-02T20:32:53Z	1	935	0
2026-09-02T20:32:54Z	0	935	0
2026-09-02T20:32:54Z	1	935	0
2026-09-02T20:32:55Z	0	935	0
2026-09-02T20:32:55Z	1	935	0
2026-09-02T20:32:56Z	0	935	0
2026-09-02T20:32:56Z	1	935	0
2026-09-02T20:32:57Z	0	935	0
2026-09-02T20:32:57Z	1	935	0
2026-09-02T20:32:58Z	0	935	0
2026-09-02T20:32:58Z	1	935	0
2026-09-02T20:32:59Z	0	935	0
2026-09-02T20:32:59Z	1	935	0
2026-09-02T20:33:00Z	0	935	0
2026-09-02T20:33:00Z	1	935	0
2026-09-02T20:33:02Z	0	935	0
2026-09-02T20:33:02Z	1	935	0
2026-09-02T20:33:03Z	0	935	0
2026-09-02T20:33:03Z	1	935	0
2026-09-02T20:33:04Z	0	935	0
2026-09-02T20:33:04Z	1	935	0
2026-09-02T20:33:05Z	0	935	0
2026-09-02T20:33:05Z	1	935	0
2026-09-02T20:33:06Z	0	935	0
2026-09-02T20:33:06Z	1	935	0
2026-09-02T20:33:07Z	0	935	0
2026-09-02T20:33:07Z	1	935	0
2026-09-02T20:33:08Z	0	935	0
2026-09-02T20:33:08Z	1	935	0
2026-09-02T20:33:09Z	0	919	0
2026-09-02T20:33:09Z	1	919	0
2026-09-02T20:33:10Z	0	3	0
2026-09-02T20:33:10Z	1	3	0
2026-09-02T20:33:11Z	0	0	0
2026-09-02T20:33:11Z	1	0	0
2026-09-02T20:33:13Z	0	0	0
2026-09-02T20:33:13Z	1	0	0
2026-09-02T20:33:14Z	0	0	0
2026-09-02T20:33:14Z	1	0	0
2026-09-02T20:33:15Z	0	0	0
2026-09-02T20:33:15Z	1	0	0
2026-09-02T20:33:16Z	0	0	0
2026-09-02T20:33:16Z	1	0	0
2026-09-02T20:33:17Z	0	0	0
2026-09-02T20:33:17Z	1	0	0
2026-09-02T20:33:18Z	0	0	0
2026-09-02T20:33:18Z	1	0	0
2026-09-02T20:33:19Z	0	0	0
2026-09-02T20:33:19Z	1	0	0
2026-09-02T20:33:20Z	0	0	0
2026-09-02T20:33:20Z	1	0	0
2026-09-02T20:33:22Z	0	0	0
2026-09-02T20:33:22Z	1	0	0
2026-09-02T20:33:23Z	0	0	0
2026-09-02T20:33:23Z	1	0	0
2026-09-02T20:33:24Z	0	0	0
2026-09-02T20:33:24Z	1	0	0
2026-09-02T20:33:25Z	0	0	0
2026-09-02T20:33:25Z	1	0	0
2026-09-02T20:33:26Z	0	0	0
2026-09-02T20:33:26Z	1	0	0
2026-09-02T20:33:27Z	0	0	0
2026-09-02T20:33:27Z	1	0	0
2026-09-02T20:33:28Z	0	0	0
2026-09-02T20:33:28Z	1	0	0
2026-09-02T20:33:29Z	0	0	0
2026-09-02T20:33:29Z	1	0	0
2026-09-02T20:33:31Z	0	0	0
2026-09-02T20:33:31Z	1	0	0
2026-09-02T20:33:32Z	0	0	0
2026-09-02T20:33:32Z	1	0	0
2026-09-02T20:33:33Z	0	0	0
2026-09-02T20:33:33Z	1	0	0
2026-09-02T20:33:34Z	0	0	0
2026-09-02T20:33:34Z	1	0	0
2026-09-02T20:33:35Z	0	0	0
2026-09-02T20:33:35Z	1	0	0
2026-09-02T20:33:36Z	0	0	0
2026-09-02T20:33:36Z	1	0	0
2026-09-02T20:33:37Z	0	0	0
2026-09-02T20:33:37Z	1	0	0
2026-09-02T20:33:38Z	0	0	0
2026-09-02T20:33:38Z	1	0	0
2026-09-02T20:33:40Z	0	0	0
2026-09-02T20:33:40Z	1	0	0
2026-09-02T20:33:41Z	0	0	0
2026-09-02T20:33:41Z	1	0	0
2026-09-02T20:33:42Z	0	0	0
2026-09-02T20:33:42Z	1	0	0
2026-09-02T20:33:43Z	0	0	0
2026-09-02T20:33:43Z	1	0	0
2026-09-02T20:33:44Z	0	0	0
2026-09-02T20:33:44Z	1	0	0
2026-09-02T20:33:45Z	0	3	0
2026-09-02T20:33:45Z	1	22	0
2026-09-02T20:33:46Z	0	3508	3
2026-09-02T20:33:46Z	1	3396	0
2026-09-02T20:33:48Z	0	9758	44
2026-09-02T20:33:48Z	1	10202	83
2026-09-02T20:33:49Z	0	12596	87
2026-09-02T20:33:49Z	1	16904	56
2026-09-02T20:33:51Z	0	17809	100
2026-09-02T20:33:51Z	1	21058	2
2026-09-02T20:33:54Z	0	25364	98
2026-09-02T20:33:54Z	1	30412	98
2026-09-02T20:33:56Z	0	40091	100
2026-09-02T20:33:56Z	1	42215	100
2026-09-02T20:33:58Z	0	64949	100
2026-09-02T20:33:58Z	1	72109	99
2026-09-02T20:33:59Z	0	77097	100
2026-09-02T20:33:59Z	1	83951	100
2026-09-02T20:34:00Z	0	77877	100
2026-09-02T20:34:00Z	1	83951	100
2026-09-02T20:34:01Z	0	77877	100
2026-09-02T20:34:01Z	1	83951	100
2026-09-02T20:34:02Z	0	77877	100
2026-09-02T20:34:02Z	1	83951	100
2026-09-02T20:34:03Z	0	77877	100
2026-09-02T20:34:03Z	1	84063	100
2026-09-02T20:34:04Z	0	78085	99
2026-09-02T20:34:04Z	1	84157	100
2026-09-02T20:34:05Z	0	78213	100
2026-09-02T20:34:05Z	1	84285	100
2026-09-02T20:34:06Z	0	78641	100
2026-09-02T20:34:06Z	1	84591	100
2026-09-02T20:34:08Z	0	78661	100
2026-09-02T20:34:08Z	1	84731	100
2026-09-02T20:34:09Z	0	78661	100
2026-09-02T20:34:09Z	1	84733	100
2026-09-02T20:34:10Z	0	78661	100
2026-09-02T20:34:10Z	1	84733	100
2026-09-02T20:34:11Z	0	78661	100
2026-09-02T20:34:11Z	1	84845	100
2026-09-02T20:34:12Z	0	78781	100
2026-09-02T20:34:12Z	1	84845	100
2026-09-02T20:34:13Z	0	78781	100
2026-09-02T20:34:13Z	1	84845	100
2026-09-02T20:34:14Z	0	78887	100
2026-09-02T20:34:14Z	1	84845	100
2026-09-02T20:34:15Z	0	78889	100
2026-09-02T20:34:15Z	1	84845	100
2026-09-02T20:34:16Z	0	78889	100
2026-09-02T20:34:16Z	1	84843	100
2026-09-02T20:34:18Z	0	78889	99
2026-09-02T20:34:18Z	1	84843	100
2026-09-02T20:34:19Z	0	78891	100
2026-09-02T20:34:19Z	1	84955	100
2026-09-02T20:34:20Z	0	78891	100
2026-09-02T20:34:20Z	1	84955	100
2026-09-02T20:34:21Z	0	79121	100
2026-09-02T20:34:21Z	1	84955	100
2026-09-02T20:34:22Z	0	79115	100
2026-09-02T20:34:22Z	1	84955	100
2026-09-02T20:34:23Z	0	79519	100
2026-09-02T20:34:23Z	1	84955	100
2026-09-02T20:34:24Z	0	74883	100
2026-09-02T20:34:24Z	1	85065	99
2026-09-02T20:34:25Z	0	74949	100
2026-09-02T20:34:25Z	1	85295	100
2026-09-02T20:34:27Z	0	75059	100
2026-09-02T20:34:27Z	1	85295	100
2026-09-02T20:34:28Z	0	75059	100
2026-09-02T20:34:28Z	1	85405	100
2026-09-02T20:34:29Z	0	75055	100
2026-09-02T20:34:29Z	1	85407	99
2026-09-02T20:34:30Z	0	75057	100
2026-09-02T20:34:30Z	1	85407	100
2026-09-02T20:34:31Z	0	75057	100
2026-09-02T20:34:31Z	1	85407	100
2026-09-02T20:34:32Z	0	75057	100
2026-09-02T20:34:32Z	1	85407	100
2026-09-02T20:34:33Z	0	75057	100
2026-09-02T20:34:33Z	1	85405	100
2026-09-02T20:34:34Z	0	75063	100
2026-09-02T20:34:34Z	1	85405	100
2026-09-02T20:34:35Z	0	75057	100
2026-09-02T20:34:35Z	1	85405	100
2026-09-02T20:34:37Z	0	75057	100
2026-09-02T20:34:37Z	1	85411	100
2026-09-02T20:34:38Z	0	75059	100
2026-09-02T20:34:38Z	1	85403	100
2026-09-02T20:34:39Z	0	75059	100
2026-09-02T20:34:39Z	1	85403	100
2026-09-02T20:34:40Z	0	75059	100
2026-09-02T20:34:40Z	1	85403	100
2026-09-02T20:34:41Z	0	75059	100
2026-09-02T20:34:41Z	1	85409	100
